 Reading in ../all_reals.csv
 length of input table       183603 x          40
 length of work table       367206 x          22
 Reading in ../df08_plantList.csv
 length of input table          802 x          11
 Coverting inputs to radians
 Will now do search through the input table to find linkable sources
  KBO_ID   N_OBS    RATE   ANGLE   STDEV    NCOR   RRATE  RANGLE    RMAG
   48898       5    2.11  144.57    0.33       1    3.06    6.19   23.95
   95370       8   14.89 -177.93    0.68       1    3.05    6.78   26.74
   95370      30    7.88  -61.40    0.83       3    3.05    6.78   26.74
   95370      38    2.68 -122.61    0.96       3    3.05    6.78   26.74
   48208      25    5.91  -58.22    0.99       3    3.11    7.48   24.93
   48208      13   10.38  -30.08    0.37       3    3.11    7.48   24.93
   95370      18    2.86  146.96    0.73       1    3.05    6.78   26.74
   48208      17    4.30  158.43    0.77       1    3.11    7.48   24.93
   95370       4    6.25    6.74    0.48       1    3.05    6.78   26.74
   48208       5   10.45  134.58    0.81       3    3.11    7.48   24.93
   48208      20    6.62  164.79    0.85       3    3.11    7.48   24.93
   95370       4    2.87  -73.50    0.40       3    3.05    6.78   26.74
   48208      24    2.38 -111.22    0.92       2    3.11    7.48   24.93
   48208       6    2.89 -177.64    0.75       1    3.11    7.48   24.93
   95370      20    3.33  -21.73    0.80       2    3.05    6.78   26.74
   95370      15    2.70  -80.41    0.87       2    3.05    6.78   26.74
   48208      14    2.92 -174.23    0.91       1    3.11    7.48   24.93
   48208       5    4.09 -131.19    0.46       1    3.11    7.48   24.93
   95370       9    3.52 -122.02    0.94       3    3.05    6.78   26.74
   48208       5    7.09  -49.26    0.76       3    3.11    7.48   24.93
   54626     425    2.00 -161.06    0.65       1    2.86    7.54   23.71
   54626     312    7.20  -94.79    0.63       3    2.86    7.54   23.71
   21466     599    2.11 -147.10    0.79       1    2.74    7.23   22.71
   54626      54    3.67  -25.69    0.96       2    2.86    7.54   23.71
   54626      68    3.95  -23.60    0.63       2    2.86    7.54   23.71
   54813      45    3.53   74.84    0.71       1    2.60    7.61   25.09
   54626      15    0.69   -2.76    0.56       2    2.86    7.54   23.71
   21466     510    2.94 -173.63    0.44       1    2.74    7.23   22.71
   54813     140    4.93 -167.24    0.93       1    2.60    7.61   25.09
   21466     102    5.19  -58.57    0.42       1    2.74    7.23   22.71
   30302     227    2.78 -163.25    0.10       1    2.70    9.90   22.52
   21466     367    2.73 -168.40    0.13       1    2.74    7.23   22.71
   21466      41   20.35   36.68    0.43       2    2.74    7.23   22.71
   30302    1109    2.85 -170.87    0.09       1    2.70    9.90   22.52
   30302     382    3.14 -171.99    0.09       1    2.70    9.90   22.52
   56577      18    4.64  -69.11    0.77       3    2.86    7.54   25.00
   56577      10    5.51  -68.45    0.68       3    2.86    7.54   25.00
   45377       8    4.68 -110.23    0.95       1    2.89    6.55   26.21
   56577       8    5.16  -66.71    0.69       3    2.86    7.54   25.00
   45377      19    2.02  114.26    0.84       3    2.89    6.55   26.21
   45377       5    2.40  154.82    0.79       1    2.89    6.55   26.21
   45377       4    2.31    0.36    0.90       1    2.89    6.55   26.21
   43309     249    3.07 -172.10    0.08       1    2.80    7.70   22.06
   43309     373    2.75 -165.67    0.24       1    2.80    7.70   22.06
    3810       6    2.83   71.75    0.34       1    2.81    7.35   25.83
    3810       5    2.33 -177.63    0.36       1    2.81    7.35   25.83
    3810      31   15.15  -17.86    0.54       2    2.81    7.35   25.83
   21796     149    0.45 -163.19    0.27       1    3.07    7.31   23.92
   21796      17   10.50   -0.03    0.19       1    3.07    7.31   23.92
   43309      64   14.89  -42.64    0.72       1    2.80    7.70   22.06
    3810       8    3.82  138.06    0.80       3    2.81    7.35   25.83
   45377       8    9.57   67.27    0.76       2    2.89    6.55   26.21
    3810      12    1.57   55.27    0.98       1    2.81    7.35   25.83
   43309     475    3.00 -172.93    0.10       1    2.80    7.70   22.06
   37335       6    0.96  176.37    0.49       1    2.90    7.44   26.92
   92019     511    3.40 -169.30    0.10       1    3.20   12.19   22.38
   92019      16    3.60  -24.43    1.00       2    3.20   12.19   22.38
   32342       5    5.55   73.02    0.87       3    2.78    7.12   26.89
   59106      56   13.61  -20.26    0.54       3    2.75    7.19   25.58
   55525     118    3.40 -174.50    0.08       1    3.05    8.50   23.10
   55525      78    2.04 -166.88    0.08       1    3.05    8.50   23.10
   61034      69   34.47 -122.55    0.96       3    2.00    4.73   23.63
   59106       4    4.70 -161.28    0.79       1    2.75    7.19   25.58
   55525      43   20.43  176.11    0.68       3    3.05    8.50   23.10
   61034    1690    2.16 -173.47    0.15       1    2.00    4.73   23.63
   61034     121    8.64   -2.61    0.58       2    2.00    4.73   23.63
   61034      11    1.68 -176.29    0.70       1    2.00    4.73   23.63
   61034      60   11.60   -4.30    0.44       2    2.00    4.73   23.63
   61034       7    1.57  -41.69    0.88       1    2.00    4.73   23.63
   61034      11    8.55   20.81    0.39       2    2.00    4.73   23.63
   96173     129    2.98 -169.54    0.09       1    2.98    5.19   22.21
   61034       4    0.33  112.69    0.36       1    2.00    4.73   23.63
   61034      41    1.21  -32.78    0.15       1    2.00    4.73   23.63
    9694     242    2.89 -172.04    0.09       1    2.77    8.08   23.54
    9694      72    9.24  -96.14    0.43       2    2.77    8.08   23.54
   97112     129    5.18  -21.31    0.77       3    2.81    7.36   24.61
    9694     553    3.00 -171.89    0.14       1    2.77    8.08   23.54
   97112     109    4.92  -20.75    0.92       3    2.81    7.36   24.61
    9694      10    2.70  -79.65    0.36       2    2.77    8.08   23.54
   55260      44    1.46 -167.51    0.67       1    2.51    5.83   24.14
   97112      20    6.26  -15.30    0.58       3    2.81    7.36   24.61
   97112       4    2.49  -12.48    0.67       2    2.81    7.36   24.61
   97107      62    8.04  -72.07    0.78       3    2.60    6.96   22.03
   55260     112    1.94   62.64    0.56       1    2.51    5.83   24.14
   55260      81    2.52  -48.40    0.48       1    2.51    5.83   24.14
   97107      24    8.83 -106.79    0.87       2    2.60    6.96   22.03
   97107     126    7.12 -110.89    0.95       1    2.60    6.96   22.03
   97107     589    2.84 -173.91    0.14       1    2.60    6.96   22.03
   97107       9    5.37 -173.73    0.12       1    2.60    6.96   22.03
   97107      25    2.85  156.11    0.14       1    2.60    6.96   22.03
    8736      14   13.90   -2.93    0.87       2    3.02    5.12   25.06
    8736       4    2.09 -160.72    0.38       1    3.02    5.12   25.06
   21420    1837    2.77 -173.55    0.13       2    2.95    8.78   23.06
   21420     108    3.46  179.83    0.17       1    2.95    8.78   23.06
   21420     121    2.84 -156.35    0.83       1    2.95    8.78   23.06
   21420       9    9.10  -26.07    0.96       2    2.95    8.78   23.06
   21420      36    4.02  -96.82    0.78       1    2.95    8.78   23.06
   21420      15    2.82 -102.66    0.92       1    2.95    8.78   23.06
   21420       9    2.14 -108.51    0.90       1    2.95    8.78   23.06
   18701       6    9.79    6.14    0.97       2    2.85    5.12   25.81
   54664       8    7.12   46.84    0.13       2    2.55    6.74   22.49
   21420       4    3.34 -136.87    0.38       1    2.95    8.78   23.06
   21420      71    4.46   53.88    0.73       2    2.95    8.78   23.06
   21420      13    6.28   45.88    0.93       2    2.95    8.78   23.06
   21420       4    8.49  -10.20    0.50       2    2.95    8.78   23.06
   21420       4    3.14    1.74    0.78       3    2.95    8.78   23.06
   21420      14    5.60    9.71    0.41       3    2.95    8.78   23.06
   21420       5    1.92 -168.18    0.60       1    2.95    8.78   23.06
   18701       4   17.99  -17.52    0.91       2    2.85    5.12   25.81
   21420       7   15.99   13.72    0.62       2    2.95    8.78   23.06
   50595     163    2.11  155.62    0.44       1    2.80    9.55   22.18
   50595     628    3.13 -171.07    0.19       1    2.80    9.55   22.18
   50595      19    5.01  170.98    0.35       1    2.80    9.55   22.18
   80626       7    7.39  -56.17    0.71       1    2.48    9.41   25.01
   50595       9   10.67  -84.64    0.85       2    2.80    9.55   22.18
   50595       5   10.13  -82.84    0.54       2    2.80    9.55   22.18
   21638     186    2.86 -160.18    0.24       1    2.90    7.43   22.05
   21638     400    3.17 -174.96    0.10       1    2.90    7.43   22.05
   35674     132   21.51   40.70    1.00       3    2.73    7.26   23.19
   21638     622    3.02 -172.86    0.16       1    2.90    7.43   22.05
   64217     188    3.65 -169.81    0.09       1    2.91   10.69   22.25
   64217     194    3.21 -166.83    0.12       1    2.91   10.69   22.25
   69931     147    3.41  154.28    0.41       1    1.81    6.18   22.22
   16674     122    3.60  175.95    0.11       1    2.51    8.58   23.52
   42913       4    9.06  158.76    0.70       2    3.02    6.84   23.64
   69931       5    1.49 -179.39    0.51       1    1.81    6.18   22.22
   16674      82   26.37   67.69    0.77       2    2.51    8.58   23.52
   16674      65    3.11  110.36    0.68       2    2.51    8.58   23.52
   41270      90    3.56  172.08    0.45       1    2.94    9.39   23.63
   41270      26    4.29 -154.30    0.57       2    2.94    9.39   23.63
   41270      11    6.99  138.48    0.88       3    2.94    9.39   23.63
   67733      12    6.09  113.03    0.83       1    1.97    7.00   24.97
   41270       7    3.20  150.54    0.50       1    2.94    9.39   23.63
   41270      25    7.01 -149.23    0.77       2    2.94    9.39   23.63
   32591      78   13.71   14.32    0.98       2    2.87    5.09   26.67
   32591      58    1.65   68.47    0.97       1    2.87    5.09   26.67
   32591      79   16.42    6.82    0.58       4    2.87    5.09   26.67
   32591      29    4.94  -67.60    0.60       1    2.87    5.09   26.67
   32591     147   10.42   -1.83    0.98       4    2.87    5.09   26.67
   32591      20    5.03  -51.72    0.90       1    2.87    5.09   26.67
   32591       9    5.28  -87.84    0.82       1    2.87    5.09   26.67
   32591       5   13.92  -85.50    0.59       1    2.87    5.09   26.67
   32591      11    3.88  -67.01    0.85       1    2.87    5.09   26.67
   32591       4    1.86  -90.86    0.97       1    2.87    5.09   26.67
   32591       8    6.91 -177.50    0.84       2    2.87    5.09   26.67
   32591      11    1.98   99.15    0.87       1    2.87    5.09   26.67
   32591       5   12.37  137.54    0.87       1    2.87    5.09   26.67
   33986      38   24.34   80.97    0.51       3    2.66    7.13   23.15
   32591      10    3.81  111.87    0.96       1    2.87    5.09   26.67
   32591      13    1.02   53.32    0.92       1    2.87    5.09   26.67
   32591       5    3.80   65.27    0.78       1    2.87    5.09   26.67
   32591       4    1.83   66.85    0.69       1    2.87    5.09   26.67
   32591       4    3.30  123.04    0.44       1    2.87    5.09   26.67
   48208      11    3.81 -143.65    0.93       1    3.11    7.48   24.93
   48208      10    1.94 -127.93    0.54       1    3.11    7.48   24.93
   48208       7    2.62 -102.71    0.93       3    3.11    7.48   24.93
   48208      11    2.06 -137.28    0.71       1    3.11    7.48   24.93
   48208      13    2.47 -115.25    0.70       1    3.11    7.48   24.93
   48208      13    4.11    4.76    0.93       3    3.11    7.48   24.93
   48208      26    3.39  179.03    0.77       1    3.11    7.48   24.93
   95370      15    5.94  166.87    0.91       3    3.05    6.78   26.74
   48208       5    7.34  -57.36    0.76       1    3.11    7.48   24.93
   48208       7    9.76  167.96    0.49       1    3.11    7.48   24.93
   55349       7    2.75  -79.25    0.77       2    2.70    6.71   25.99
   48208       6    6.47 -165.76    0.93       1    3.11    7.48   24.93
   55349      11    2.54   78.10    0.84       3    2.70    6.71   25.99
   55349       8    7.26   67.70    0.74       3    2.70    6.71   25.99
   55349       5    2.99  107.52    0.62       3    2.70    6.71   25.99
   16758      12    1.08  -19.00    0.83       1    3.13    9.39   26.85
    7068       4   12.84   32.41    0.84       3    2.84    7.58   25.89
    7629       9    6.40   16.53    0.58       3    2.87    7.80   25.70
   55349       4    3.65   92.30    0.12       3    2.70    6.71   25.99
   16758       9    3.46  -12.39    0.62       1    3.13    9.39   26.85
   55349       4    5.22   56.20    0.66       3    2.70    6.71   25.99
   54813     187    6.35   -9.71    0.95       2    2.60    7.61   25.09
   54813     112    5.87  -17.47    0.89       2    2.60    7.61   25.09
   54813     145    5.73  -16.90    0.87       2    2.60    7.61   25.09
   54813      84    6.43  -17.48    0.73       2    2.60    7.61   25.09
   54813      34    0.30   87.80    0.93       1    2.60    7.61   25.09
   60534     102    9.90 -145.37    0.74       3    1.57    7.11   22.26
   54813     123    9.55  171.72    0.90       2    2.60    7.61   25.09
   60534     115   10.46 -179.58    0.39       2    1.57    7.11   22.26
   54813      35    2.36   91.39    1.00       1    2.60    7.61   25.09
   21466       6   11.99 -121.36    0.86       2    2.74    7.23   22.71
   54813      92   11.50  171.32    0.62       2    2.60    7.61   25.09
   54813      11    2.82  139.03    0.91       1    2.60    7.61   25.09
   60534     153    1.64 -165.81    0.06       1    1.57    7.11   22.26
   29301     153   17.02 -110.68    0.62       2    2.97    7.83   22.53
   29301     209   17.71 -109.36    0.80       2    2.97    7.83   22.53
   54813      25    7.81 -117.06    0.93       1    2.60    7.61   25.09
   54813      24    9.01 -105.56    0.74       1    2.60    7.61   25.09
   54813      11    6.81   15.21    0.86       2    2.60    7.61   25.09
   45377     265    0.96  112.74    0.76       2    2.89    6.55   26.21
   32342      22   12.27  -31.02    0.77       3    2.78    7.12   26.89
   32342       6    8.57 -144.09    0.68       1    2.78    7.12   26.89
   31721      25   14.65  -38.53    0.84       3    2.87    7.81   22.85
   37335       4    6.22   73.28    0.79       3    2.90    7.44   26.92
   37335       5    5.25   69.72    0.71       3    2.90    7.44   26.92
   92019      27    7.98   16.64    0.54       3    3.20   12.19   22.38
   55525     245    3.28 -172.49    0.21       1    3.05    8.50   23.10
   55525       8    1.21  170.20    0.22       1    3.05    8.50   23.10
   71342      18    1.37   21.15    0.68       1    3.09    6.14   24.31
   71342     149    3.11 -173.48    0.52       1    3.09    6.14   24.31
   43681     321    3.27 -170.51    0.23       1    2.92    7.08   24.11
   43681     167    3.32 -146.92    0.30       1    2.92    7.08   24.11
   43681     126    2.35 -161.28    0.55       1    2.92    7.08   24.11
   43681      88    6.20  -94.07    0.40       2    2.92    7.08   24.11
   43681     182    2.29 -154.71    0.70       1    2.92    7.08   24.11
   42563       4    2.33 -118.70    0.66       1    3.10    6.39   26.82
   42563       6    7.46  -78.73    0.90       2    3.10    6.39   26.82
   43681      19    1.75 -175.96    0.96       1    2.92    7.08   24.11
   42563      33    5.69  122.16    0.62       2    3.10    6.39   26.82
   43681      32    1.57 -169.75    0.67       1    2.92    7.08   24.11
   42563      17    3.24   94.71    0.76       2    3.10    6.39   26.82
   43681      21    5.31   87.11    0.83       2    2.92    7.08   24.11
   43681      12    6.64   81.95    0.94       2    2.92    7.08   24.11
