ra0,dec0,ra1,dec1,time0,time1,expnum0,expnum1,p0,p1,pred_mag,actual_mag,kbo_id0,kbo_id1,real_ra0,real_dec0,real_ra1,real_dec1,pred_pos_x0,pred_pos_y0,pred_pos_x1,pred_pos_y1,pred_pos_x0_sub,pred_pos_y0_sub,pred_pos_x1_sub,pred_pos_y1_sub,real_pos_x0,real_pos_y0,real_pos_x1,real_pos_y1,real_pos_x0_sub,real_pos_y0_sub,real_pos_x1_sub,real_pos_y1_sub,cut_center_x0,cut_center_y0,cut_center_x1,cut_center_y1,original_num,original_num_among_positively_predicted
289.22915906247226,-21.483265658448392,289.22910435566115,-21.483273073587196,58665.38106115,58665.38678385,0,2,0.9990234375,0.99609375,23.34375,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.22905828067144,-21.483255667486034,58.06249999970112,423.3906249998388,56.525066711002864,423.5862880834368,42.0625,29.390625,41.09375,29.390625,58.23999999970112,422.9399999998388,55.111316711002864,422.4256630834368,42.24,28.939999999999998,39.68,28.230000000000018,47.99999999970112,425.9999999998388,47.431316711002864,426.1956630834368,5677,395
289.2291574802971,-21.483241041882422,289.2290734696548,-21.4832525155207,58665.38106115,58665.3896444,0,3,1.0,1.0,23.25,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2290023750048,-21.48326218119722,58.03124999970112,422.9062499998388,55.580617084607525,423.31162113166056,42.03125,28.90625,40.46875,28.953125,58.23999999970112,422.9399999998388,53.391867084607526,422.8384961316606,42.24,28.939999999999998,38.28,28.480000000000018,47.99999999970112,425.9999999998388,47.111867084607525,426.35849613166056,5678,396
289.2291898994632,-21.48324371865635,289.22900896733296,-21.483278453727028,58665.38106115,58665.39251305,0,4,1.0,1.0,23.25,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2289468908204,-21.48326878903542,58.62499999970112,422.9687499998388,54.737391897314524,423.47905626892816,42.625,28.96875,39.21875,29.3125,58.23999999970112,422.9399999998388,53.118641897314525,422.43655626892814,42.24,28.939999999999998,37.6,28.269999999999982,47.99999999970112,425.9999999998388,47.518641897314524,426.16655626892816,5679,397
289.22915244762464,-21.483223632719398,289.22889493163063,-21.483273535235316,58665.38106115,58665.3953726,0,5,1.0,1.0,23.109375,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2288917024357,-21.483275484886953,57.93749999970112,422.5624999998388,52.38893917710766,423.33265638080684,41.9375,28.5625,37.09375,29.171875,58.23999999970112,422.9399999998388,51.62518917710766,422.53078138080684,42.24,28.939999999999998,36.33,28.370000000000005,47.99999999970112,425.9999999998388,47.29518917710766,426.16078138080684,5680,398
289.2291455949699,-21.483228508221956,289.2288298021328,-21.48327737475197,58665.38106115,58665.39823295,0,6,1.0,1.0,23.25,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2288360403778,-21.483281824446646,57.81249999970112,422.6562499998388,50.95535415876316,423.62064059447926,41.8125,28.65625,35.8125,29.34375,58.23999999970112,422.9399999998388,50.21285415876316,422.98689059447923,42.24,28.939999999999998,35.07,28.70999999999998,47.99999999970112,425.9999999998388,47.14285415876316,426.27689059447926,5681,399
289.2291473746512,-21.483214172923,289.22884347412673,-21.483265335389675,58665.38106115,58665.4011011,0,7,1.0,1.0,23.21875,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2287803949648,-21.483288533306034,57.84374999970112,422.3749999998388,50.82271663804943,423.21310108854345,41.84375,28.375,36.1875,29.046875,58.23999999970112,422.9399999998388,49.30521663804943,422.81622608854343,42.24,28.939999999999998,34.67,28.649999999999977,47.99999999970112,425.9999999998388,46.63521663804943,426.16622608854345,5682,400
289.2291269376572,-21.48320495140078,289.228720798284,-21.483275724338355,58665.38106115,58665.403961949996,0,8,1.0,1.0,23.296875,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2287247397045,-21.483295013436276,57.46874999970112,422.1874999998388,48.235975538431376,423.43955117777546,41.46875,28.1875,33.90625,29.15625,58.23999999970112,422.9399999998388,47.63972553843138,423.10330117777545,42.24,28.939999999999998,33.31,28.819999999999993,47.99999999970112,425.9999999998388,46.329725538431376,426.28330117777546,5683,401
289.2291422573355,-21.48321345740929,289.22864890973983,-21.483285226108322,58665.38106115,58665.40682785,0,9,1.0,1.0,23.28125,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.22866915611564,-21.48330151319169,57.74999999970112,422.3593749998388,46.847774561636356,423.6736864723955,41.75,28.359375,32.6875,29.46875,58.23999999970112,422.9399999998388,46.380274561636355,423.2049364723955,42.24,28.939999999999998,32.22,29.0,47.99999999970112,425.9999999998388,46.160274561636356,426.2049364723955,5684,402
289.22915406606035,-21.483241094827235,289.22863827833214,-21.483320074155678,58665.38106115,58665.40968885,0,10,1.0,1.0,23.234375,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.22861371020815,-21.483308218454223,57.96874999970112,422.9062499998388,46.42096901176092,424.3405363132465,41.96875,28.90625,32.40625,30.09375,58.23999999970112,422.9399999998388,44.984719011760916,423.3467863132465,42.24,28.939999999999998,30.97,29.100000000000023,47.99999999970112,425.9999999998388,46.01471901176092,426.2467863132465,5685,403
289.229130255118,-21.483223976870956,289.2285590791269,-21.483322620646234,58665.38106115,58665.4125493,0,11,1.0,1.0,23.328125,23.19,35674.0,35674.0,289.2291688751475,-21.483242582109508,289.2285581383472,-21.483314952716842,57.53124999970112,422.5624999998388,44.86796595893202,424.5910339896079,41.53125,28.5625,30.9375,30.015625,58.23999999970112,422.9399999998388,44.78046595893202,424.0154089896079,42.24,28.939999999999998,30.85,29.439999999999998,47.99999999970112,425.9999999998388,45.93046595893202,426.5754089896079,5686,404
